# File created by converting ColoF.sum to a CSV file, using msm-sum-to-csv.py
#----------------------------------------------------------
# # ********************************************************************************
# #
# # *.sum       Mixed Station Summary Information
# #
# #  Filename:  ColoF.sum
# #
# #  **** = 95% Confidence Interval Not Met
# #
# # ********************************************************************************
# # File History:
# # ********************************************************************************
# #
# # *.xbf       Filled Base Flow at Stream Gages - Mixed Station Model
# #
# #  Mixed Station Model Version:  PC (89/07/18) (Modified 6/8/99)
# #  Run Date and Time:  9/13/99 16:21:15
# #  Filename:  ColoF-1.xbf
# #  Regression:  Simple Linear Regression (Log Transform)
# #  Method:  SEP Dependent
# #  Independent Stations:  All
# #  First Year of Extended Record:  1909
# #  Min. No. of Concurrent Values Required:  5
# #  Confidence Interval:  95%
# #
# # ********************************************************************************
# #
# # 
# # ********************************************************************************
# # *.xbg       Base Flow at Stream Gages                        
# #
# #  UPPER COLORADO RIVER BASIN                                                     
# #  Historic Diversions made at respective historic diversion location             
# #
# #  Statemod Version:  8.24 (1999/07/19)
# #  Run date and time:    9/ 1/99  8: 5:50
# # 
# # ********************************************************************************
# # ********************************************************************************
# #
# # Individual Gage Mixed Station Summary Information:
# 
#   Basin Key:
#   K - KeyGages
#   C - ColoF
# 
# 
# The original ****, which indicates not passing the T test, is replaced with blanks below
#--------------------------------------------------------------------------------------
#Dependent,IndepStation,Basin,ConcurrentValues,R_Jan,R_Feb,R_Mar,R_Apr,R_May,R_Jun,R_Jul,R_Aug,R_Sep,R_Oct,R_Nov,R_Dec,R
"TSID","TSID-Independent","Basin","N1","R_1","R_2","R_3","R_4","R_5","R_6","R_7","R_8","R_9","R_10","R_11","R_12","R"
09039000,09104500,C,84,,0.82,,,,,0.84,0.91,0.77,,0.87,,0.84
09039000,09112500,K,480,0.46,0.55,0.38,0.69,0.82,0.86,0.78,0.71,0.53,0.69,0.71,0.45,0.94
09039000,09152500,C,480,,0.47,0.59,0.65,0.66,0.76,0.75,0.57,0.50,0.40,0.47,,0.64
09039000,09340500,K,480,0.36,0.52,0.57,0.84,0.87,0.89,0.82,0.74,0.68,0.66,0.70,0.57,0.91
09040000,09011000,C,438,0.46,0.46,0.63,0.85,0.64,0.79,0.78,0.82,0.60,0.85,0.63,0.55,0.84
09040000,09021000,C,337,0.39,,0.42,0.78,0.91,0.93,0.83,0.68,0.68,0.42,0.53,,0.91
09040000,09032500,C,162,,,0.72,0.74,0.90,0.91,0.83,0.82,0.67,0.79,,,0.86
09040000,09033500,C,78,,,,0.86,0.95,,0.76,,,,,,0.84
09040000,09034000,C,99,,,,0.78,0.96,0.98,0.87,0.79,,0.78,,,0.79
09040000,09035500,C,270,,0.55,,0.51,,0.54,0.78,0.74,,,,,0.72
09040000,09036000,C,438,0.51,0.59,0.56,0.81,0.34,0.69,0.82,0.75,0.67,0.80,0.72,0.52,0.78
09040000,09038500,C,312,,,0.82,0.85,0.65,0.80,0.80,0.80,0.87,0.86,,,0.88
09040000,09039000,C,360,0.64,0.77,0.63,0.78,0.82,0.92,0.82,0.71,0.65,0.79,0.74,0.78,0.92
09040000,09041000,C,264,0.64,0.60,0.63,0.89,0.71,0.79,0.85,0.77,0.82,0.77,0.69,0.48,0.95
09040000,09058000,C,252,0.76,0.71,0.77,0.90,0.86,0.88,0.91,0.86,0.75,0.89,0.79,0.65,0.92
09040000,09063000,C,360,0.40,0.40,,0.79,0.71,0.89,0.86,0.79,0.66,0.82,0.64,0.62,0.91
09040000,09069500,C,108,0.72,0.80,0.84,,,0.90,0.85,0.87,0.75,0.68,,,0.67
09040000,09070500,C,394,,0.39,0.80,0.92,0.82,0.84,0.86,0.76,0.71,0.82,0.37,0.55,0.89
09040000,09071300,C,79,,,,,,0.80,0.93,,,0.91,0.79,,0.81
09040000,09072500,C,234,0.57,0.55,0.75,0.96,0.84,0.82,0.79,0.71,0.79,0.88,0.66,0.67,0.87
09040000,09078600,C,96,0.78,,0.95,,,0.81,0.92,0.85,0.74,0.82,0.90,,0.89
09040000,09081600,C,336,0.56,0.58,0.58,0.81,0.51,0.68,0.86,0.79,0.74,0.80,0.80,0.55,0.90
09040000,09084000,C,144,0.89,0.69,0.58,0.77,0.82,0.82,0.83,0.79,0.72,0.86,0.70,0.78,0.96
09040000,09085000,C,438,0.58,0.61,0.71,0.85,0.58,0.79,0.79,0.71,0.66,0.59,0.68,0.57,0.83
09040000,09085100,C,204,0.58,0.63,0.82,0.79,0.79,0.84,0.88,0.82,0.77,0.53,0.60,0.74,0.91
09040000,09085200,C,175,,,,,,0.81,0.80,0.78,0.89,0.72,0.69,,0.92
09040000,09089500,C,329,0.49,,0.57,0.68,0.65,0.77,0.79,0.80,0.66,0.59,0.64,0.57,0.91
09040000,09095000,C,204,,0.49,,,0.52,0.68,0.71,0.49,0.63,,0.63,,0.75
09040000,09172500,K,378,0.61,0.48,0.59,0.59,0.59,0.68,0.71,0.52,,0.66,0.60,0.67,0.86
09040000,09239500,K,438,0.48,0.45,0.77,0.84,0.73,0.85,0.85,0.75,0.82,0.79,0.72,0.59,0.96
09040000,09251000,K,438,0.50,0.52,0.56,0.81,0.75,0.85,0.81,0.72,0.71,0.77,0.76,0.57,0.94
09041000,09011000,C,264,,0.46,0.78,0.90,0.63,0.82,0.67,0.83,0.72,0.74,0.70,0.54,0.85
09041000,09019500,C,142,,-.98,,0.89,0.64,,0.60,,,,,,0.73
09041000,09034000,C,75,,,,,,0.97,0.93,,,,,,0.85
09041000,09036000,C,300,0.50,0.60,0.54,0.90,0.57,0.65,0.78,0.79,0.58,0.72,0.75,0.66,0.78
09041000,09046600,C,204,,,,0.90,0.89,0.79,0.93,0.84,0.60,0.67,0.71,0.76,0.74
09041000,09050100,C,204,0.55,0.51,,0.81,0.71,0.89,0.95,0.83,0.59,0.80,0.77,0.79,0.83
09041000,09054000,C,87,,,,0.96,,,,,0.82,0.79,,,0.73
09041000,09055300,C,72,,,,0.94,,0.99,0.86,0.96,0.89,,,,0.84
09041000,09057500,C,240,,,0.62,0.93,0.74,0.82,0.89,0.73,0.74,0.80,0.66,,0.82
09041000,09058000,C,144,0.66,,0.81,0.91,0.88,0.86,0.94,0.85,0.76,0.95,0.94,0.63,0.91
09041000,09060500,C,192,,,0.66,0.80,0.86,0.98,0.96,0.86,0.86,0.96,0.85,0.74,0.96
09041000,09060700,C,72,,,,0.99,0.91,,,0.84,,,,,0.92
09041000,09063000,C,228,0.62,0.60,,0.88,0.75,0.87,0.94,0.83,0.70,0.86,0.72,0.60,0.90
09041000,09065500,C,144,,,,0.86,,0.73,0.95,0.87,0.79,0.88,0.70,,0.85
09041000,09068000,C,192,,0.56,0.54,0.86,,0.81,0.96,0.88,0.81,0.87,0.70,,0.81
09041000,09069500,C,72,0.97,0.88,0.85,,,0.94,0.90,,0.87,0.89,0.90,0.93,0.69
09041000,09070000,C,226,,,0.61,0.82,0.73,0.88,0.95,0.78,0.79,0.73,,,0.86
09041000,09070500,C,262,,,0.64,0.86,0.83,0.87,0.87,0.83,0.76,0.87,0.50,,0.90
09041000,09072500,C,204,,,0.67,0.85,0.79,0.84,0.76,0.81,0.62,0.61,,,0.88
09041000,09073400,C,120,,,,0.89,,0.90,0.92,0.75,0.80,0.85,0.86,0.80,0.83
09041000,09074000,C,73,,,,0.91,,,0.86,,0.79,0.92,0.87,,0.85
09041000,09080400,C,120,,,,0.97,,0.98,0.93,0.78,0.79,0.93,0.90,0.68,0.88
09041000,09082800,C,96,0.82,,0.86,0.82,,0.86,0.76,,0.95,0.90,0.88,0.95,0.96
09041000,09085000,C,300,0.59,0.81,0.77,0.83,0.58,0.82,0.81,0.75,0.51,0.67,0.61,0.54,0.84
09041000,09085000,K,300,0.57,0.75,0.60,0.80,0.53,0.80,0.79,0.75,0.51,0.69,0.60,0.56,0.84
09041000,09085100,C,96,0.80,,,0.92,0.79,0.93,0.93,0.79,,0.88,0.84,,0.89
09041000,09087500,C,60,0.92,0.93,,0.91,,0.91,0.98,0.90,,,,,0.89
09041000,09093700,C,96,0.76,,0.74,0.92,0.80,0.93,0.93,0.80,,0.89,0.85,,0.91
09041000,09095000,C,108,,,0.75,,,,,0.68,0.82,,,,0.79
09041000,09095500,K,300,0.66,0.76,0.69,0.75,0.66,0.72,0.75,0.79,0.69,0.76,0.64,0.67,0.88
09041000,09112500,K,300,0.41,0.48,0.62,0.90,0.56,0.79,0.84,0.74,0.56,0.78,0.68,0.43,0.90
09041000,09172500,K,245,0.54,0.60,,,,0.45,0.73,0.60,,0.61,0.48,,0.86
09041000,09239500,K,300,,,0.65,0.77,0.80,0.97,0.91,0.87,0.82,0.86,0.77,0.53,0.95
09041000,09251000,K,300,,0.41,0.46,0.74,0.75,0.95,0.84,0.81,0.67,0.77,0.75,0.54,0.92
09041000,09340500,K,300,,0.52,0.52,0.79,0.58,0.89,0.81,0.72,0.48,0.66,0.57,0.42,0.87
09041000,504600,C,234,,,,0.53,,,0.53,,,0.60,0.47,,0.92
09041200,09011000,C,228,,,0.48,0.63,0.68,0.75,0.49,,,0.68,0.56,0.53,0.89
09041200,09019500,C,70,,,,,0.57,,,,,,,,0.81
09041200,09021000,C,207,-.50,,,0.47,0.83,0.70,,,,,,,0.74
09041200,09026500,C,228,,,,0.55,0.57,0.71,0.49,0.71,,0.59,,,0.84
09041200,09032500,C,60,,,,,0.93,,,,,,0.89,,0.84
09041200,09034500,K,228,,,,0.61,0.80,0.67,,0.54,0.51,0.66,,,0.78
09041200,09035500,C,108,,0.67,0.89,,,0.83,0.69,,,,,,0.90
09041200,09037500,K,228,,,,0.61,0.72,0.66,0.54,0.59,0.49,0.56,0.48,,0.78
09041200,09038500,C,192,,,,0.77,0.73,0.75,,,,0.55,,,0.87
09041200,09039000,C,228,,,,0.76,0.86,0.85,0.58,0.46,0.51,0.68,,,0.85
09041200,09040000,C,228,0.55,,,0.71,0.76,0.69,,0.63,0.55,0.65,0.64,0.50,0.79
09041200,09041000,C,192,,,,0.71,0.83,0.92,0.70,0.66,,0.67,,,0.78
09041200,09047000,C,67,,,,,0.89,0.96,0.94,,,0.82,,,0.82
09041200,09050100,C,204,,,,0.59,0.58,0.83,,,,,,0.49,0.88
09041200,09050700,C,177,,,,0.72,0.74,0.80,0.60,,,0.59,,,0.89
09041200,09053500,C,192,,,,0.64,0.78,0.79,0.68,0.61,0.61,0.57,,,0.86
09041200,09054000,C,96,,,,,,,,,,,,,0.88
09041200,09055300,C,96,-.72,,-.84,,,0.86,,,,,,-.77,0.88
09041200,09058000,C,144,,,,0.84,0.87,0.78,,,,,0.73,0.80,0.90
09041200,09060500,C,228,,,,0.54,0.67,0.87,0.69,,,0.53,0.47,,0.73
09041200,09065100,C,168,0.58,,,0.64,,0.74,0.56,,,,,,0.88
09041200,09068000,C,204,,,,0.67,0.66,0.82,0.58,,0.49,0.73,0.55,,0.85
09041200,09072500,C,132,,,,0.81,0.84,0.90,,,,0.82,0.72,,0.85
09041200,09075700,C,61,,,,,,,,,,,-.94,-.90,0.82
09041200,09085000,C,228,,,,0.69,0.61,0.83,,0.49,,0.59,,,0.88
09041200,09087500,C,60,,,,,,0.90,0.98,,,,,,0.82
09041200,09091500,C,96,,,,0.82,0.94,0.75,,0.78,,,,,0.52
09041200,09104500,C,60,,,,,,,,0.91,,,,,0.80
09041200,09112500,K,228,,,,0.59,,0.78,0.47,0.57,,0.57,,,0.85
09041200,09166500,K,228,,,,0.75,,0.55,,,,,,,0.74
09041200,09239500,K,228,,,,0.60,0.75,0.84,0.60,0.61,,0.59,0.52,,0.73
09041200,09251000,K,228,,,,0.60,0.64,0.84,0.61,0.52,,0.61,0.55,0.46,0.69
09041200,09340500,K,228,,,,0.71,0.67,0.82,0.70,0.64,0.47,0.54,,,0.75
09041200,09361500,K,228,,,,0.78,,0.50,,,,,,,0.78
09041500,09019500,C,46,,,,,,0.70,0.91,,,,,,0.88
09041500,09021000,C,95,0.73,0.86,0.78,0.96,0.94,0.93,0.89,,,0.97,,0.89,0.91
09041500,09024000,C,96,,,,0.84,,0.75,0.92,,,,,,0.75
09041500,09032499,C,74,,,,0.92,,,0.97,,,,,,0.84
09041500,09034500,C,96,0.83,0.96,0.77,0.95,0.74,0.84,0.93,,,,,0.86,0.90
09041500,09034500,K,96,0.73,0.93,,,0.94,0.79,0.94,,,,,,0.82
09041500,09036000,C,96,0.90,,,0.80,,0.77,0.91,,,,,0.82,0.76
09041500,09037500,K,96,,,,,,0.90,0.90,0.68,,0.98,,,0.76
09041500,09040000,C,17,,,,,,,,,,,,,0.94
09041500,09046600,C,96,,,,0.83,,0.90,0.92,,0.76,,,,0.74
09041500,09057500,C,96,,0.79,0.75,0.90,,0.90,0.92,0.68,,,,,0.83
09041500,09058000,C,96,0.84,0.87,0.85,0.97,0.80,0.91,0.93,0.68,,,,0.98,0.90
09041500,09063000,C,96,,,,0.90,,0.90,0.85,,,0.92,,,0.83
09041500,09064000,C,91,,,,,,0.82,0.70,0.93,,0.92,,,0.81
09041500,09070500,C,96,0.78,0.91,0.91,0.95,0.81,0.93,0.91,,,,,0.93,0.89
09041500,09073400,C,96,,,0.84,0.80,,0.76,0.80,0.75,,,,,0.79
09041500,09085000,C,96,0.80,0.85,0.84,,0.75,0.89,0.82,,,,,0.85,0.82
09041500,09085000,K,96,0.84,0.90,0.81,,0.80,0.89,0.82,,,,,0.91,0.78
09041500,09085100,C,96,0.91,0.95,0.93,0.90,0.81,0.92,0.87,,,,,0.97,0.87
09041500,09085200,C,41,,,,,,,,,,,,,0.89
09041500,09089500,C,96,0.74,0.71,0.82,,0.70,0.92,0.68,,,0.99,,,0.87
09041500,09092500,C,5,,,,,,,,,,,,,0.97
09041500,09093700,C,96,0.91,0.95,0.90,0.86,0.81,0.92,0.87,,,0.91,,0.96,0.88
09041500,09095500,C,96,0.90,0.98,0.83,0.82,0.81,0.92,0.87,,,0.89,,0.94,0.88
09041500,09105000,C,96,0.93,0.87,,,0.70,0.89,0.89,,,,,0.73,0.86
09041500,09112500,K,96,0.74,0.87,0.89,0.87,0.76,0.85,0.73,,,,0.82,0.88,0.85
09041500,09147500,K,96,,,,,,,0.81,,0.72,,,,0.79
09041500,09163500,C,96,0.90,0.86,,,0.78,0.91,0.85,,,0.92,,0.90,0.87
09041500,09166500,K,96,,,,,,0.78,0.79,,,,,,0.89
09041500,09239500,K,96,,,0.72,,0.87,0.98,0.87,,,,,0.85,0.88
09041500,09251000,K,96,0.84,0.88,,,0.92,0.95,0.89,,,,,0.73,0.87
09041500,09260000,K,96,0.77,0.91,,,0.89,0.95,0.85,,,0.98,,0.84,0.73
09041500,09340500,K,96,0.75,0.78,0.82,0.78,0.91,0.93,0.82,,,0.95,,0.95,0.82
09041500,09379500,K,96,0.82,,,,,,,,,,,0.89,0.60
09046600,09011000,C,348,0.65,0.55,0.37,0.86,0.79,0.81,0.88,0.71,0.72,0.58,0.59,0.68,0.95
09046600,09047000,C,43,,,,,,,,,,,,,1.00
09046600,09058000,C,408,0.49,,,0.85,0.88,0.92,0.92,0.83,0.75,0.68,0.67,0.56,0.92
09046600,09069500,C,84,0.89,0.86,,,0.86,0.96,0.92,,,0.88,,,0.92
09046600,09072500,C,108,0.73,,0.73,0.97,0.94,0.95,0.95,0.89,0.94,0.84,0.71,0.84,0.92
09046600,09085000,C,468,0.54,0.39,0.35,0.76,0.80,0.89,0.93,0.82,0.67,0.70,0.62,0.67,0.95
09046600,09085000,K,468,0.56,0.45,0.40,0.69,0.68,0.83,0.92,0.81,0.71,0.71,0.72,0.67,0.91
09046600,09097500,C,266,0.72,0.67,0.60,0.50,0.53,0.72,0.85,0.51,0.56,0.60,0.61,0.57,0.42
09046600,09340500,K,468,0.54,0.53,0.51,0.77,0.65,0.82,0.89,0.74,0.55,0.60,0.66,0.65,0.75
09047000,09011000,C,427,0.47,0.47,0.46,0.81,0.75,0.75,0.89,0.72,0.44,0.58,0.65,0.62,0.95
09047000,09034000,C,219,,,,0.79,0.80,0.91,0.93,0.92,0.84,0.73,0.63,,0.94
09047000,09034500,K,571,0.43,0.38,0.29,0.70,0.71,0.65,0.76,0.71,0.70,0.73,0.45,0.42,0.89
09047000,09037500,C,499,0.43,0.43,0.42,0.87,0.82,0.87,0.88,0.82,0.74,0.61,0.71,0.43,0.97
09047000,09037500,K,499,0.42,0.42,0.42,0.87,0.83,0.88,0.89,0.82,0.73,0.58,0.71,0.42,0.92
09047000,09041200,C,67,,,,,0.89,0.96,0.94,,,0.82,,,0.82
09047000,09046600,C,43,,,,,,,,,,,,,1.00
09047000,09047500,C,163,,,,0.88,0.78,0.93,0.96,0.98,0.83,0.64,0.91,0.60,0.98
09047000,09053500,C,211,0.65,0.79,0.89,0.92,0.96,0.95,0.94,0.87,0.49,,0.52,0.72,0.98
09047000,09054000,C,87,,,,0.96,0.89,,,0.78,0.78,,0.79,0.97,0.97
09047000,09058000,C,96,,,,0.84,0.91,0.87,0.93,0.91,,,,,0.95
09047000,09072500,C,607,,,0.37,0.84,0.82,0.83,0.92,0.90,0.72,0.72,0.44,,0.93
09047000,09074000,C,76,,,0.86,0.84,,0.92,0.85,,,,,-.83,0.93
09047000,09081600,C,67,,,,0.97,0.94,0.98,0.95,0.96,0.95,0.89,,,0.96
09047000,09085000,K,603,0.53,0.52,0.45,0.79,0.72,0.79,0.83,0.78,0.62,0.59,0.63,0.69,0.94
09047000,09092600,C,55,0.97,,,,,,,,,,,,0.93
09047000,09095000,C,66,0.88,,,,,,,,,,,,0.62
09047000,09340500,K,607,0.47,0.48,0.49,0.62,0.53,0.72,0.75,0.68,0.46,0.36,0.33,0.47,0.82
09047000,954001,C,607,0.54,,-.43,-.70,0.59,-.37,,-.67,-.62,-.28,,0.38,0.87
09047500,09019500,C,251,,,,,0.80,0.49,0.85,0.68,0.53,,,,0.75
09047500,09024000,C,588,0.36,0.29,,0.86,0.93,0.88,0.93,0.89,0.86,0.74,0.57,0.42,0.98
09047500,09032500,C,156,,,,0.81,0.71,0.91,0.94,0.95,0.65,0.83,0.62,,0.90
09047500,09034000,C,99,,,0.79,0.94,,0.98,0.95,0.94,0.76,0.73,,,0.92
09047500,09035500,C,372,0.52,0.40,,0.73,0.95,0.91,0.95,0.89,0.85,0.74,0.68,0.52,0.98
09047500,09036000,C,588,0.44,0.48,0.40,0.89,0.95,0.91,0.93,0.88,0.88,0.84,0.80,0.61,0.98
09047500,09037500,C,588,,0.42,0.35,0.84,0.77,0.87,0.86,0.77,0.78,0.70,0.70,0.45,0.96
09047500,09041000,C,240,0.55,,,0.91,0.53,0.74,0.86,0.76,0.68,0.79,0.75,0.57,0.71
09047500,09047000,C,163,,,,0.88,0.78,0.93,0.96,0.98,0.83,0.64,0.91,0.60,0.98
09047500,09053500,C,300,,,,0.87,0.87,0.98,0.95,0.80,0.78,0.74,0.64,,0.96
09047500,09058000,C,408,,0.38,,0.79,0.69,0.91,0.93,0.86,0.86,0.84,0.75,0.52,0.91
09047500,09063000,C,564,0.37,,,0.78,0.74,0.86,0.92,0.86,0.80,0.77,0.70,0.50,0.90
09047500,09069500,C,132,0.60,0.75,,,0.90,0.92,0.83,0.61,,,,,0.91
09047500,09072500,C,228,,,0.73,0.84,0.65,0.95,0.94,0.85,0.89,0.83,0.59,,0.91
09047500,09085000,C,588,0.48,0.50,0.38,0.73,0.62,0.87,0.90,0.80,0.75,0.71,0.62,0.65,0.95
09047500,09085000,K,588,0.54,0.53,0.38,0.65,0.45,0.81,0.90,0.78,0.74,0.72,0.63,0.59,0.91
09047500,09093500,C,131,0.78,0.74,,,,0.75,0.79,,,,,0.64,0.37
09047500,09097500,C,378,,0.35,,0.46,,0.69,0.69,0.46,0.52,0.49,0.35,,0.38
09047500,09166500,K,588,0.52,0.44,0.41,0.44,,0.56,0.72,0.70,0.56,0.59,0.55,0.49,0.74
09047500,09251000,K,588,0.49,0.43,0.52,0.59,,0.79,0.90,0.78,0.68,0.76,0.72,0.61,0.61
09047500,09340500,K,588,0.39,0.59,0.53,0.76,0.38,0.81,0.87,0.76,0.66,0.64,0.64,0.47,0.75
09050100,09011000,C,348,0.74,0.56,,0.65,0.85,0.83,0.91,0.76,0.68,0.66,0.61,0.76,0.97
09050100,09036000,C,468,0.58,0.47,0.48,0.77,0.91,0.91,0.95,0.86,0.83,0.86,0.83,0.76,0.98
09050100,09037500,C,468,0.48,0.39,,0.71,0.86,0.89,0.90,0.75,0.63,0.70,0.63,0.51,0.97
09050100,09041000,C,204,0.55,0.51,,0.81,0.71,0.89,0.95,0.83,0.59,0.80,0.77,0.79,0.83
09050100,09047000,C,43,,,,,,,,,,,,,0.98
09050100,09047500,C,468,0.56,0.57,0.53,0.75,0.90,0.92,0.92,0.89,0.82,0.84,0.82,0.81,0.96
09050100,09053500,C,192,,,,0.95,0.95,0.95,0.89,0.66,0.83,0.75,0.69,,0.97
09050100,09058000,C,408,0.49,0.40,,0.67,0.85,0.95,0.96,0.90,0.83,0.79,0.73,0.55,0.96
09050100,09063000,C,468,0.45,0.35,0.34,0.61,0.89,0.93,0.95,0.90,0.80,0.86,0.71,0.69,0.96
09050100,09069500,C,84,,,,,0.93,0.89,0.86,,0.80,0.84,0.82,0.77,0.89
09050100,09070000,C,465,0.38,,,0.75,0.88,0.97,0.98,0.94,0.77,0.64,0.42,,0.95
09050100,09070500,C,468,0.41,,,0.71,0.86,0.97,0.97,0.92,0.85,0.75,0.55,0.41,0.95
09050100,09072500,C,108,0.71,,,0.89,0.95,0.98,0.99,0.96,0.96,0.87,,0.75,0.95
09050100,09085000,C,468,0.59,0.41,0.33,0.73,0.81,0.93,0.96,0.87,0.80,0.82,0.71,0.74,0.97
09050100,09085000,K,468,0.56,0.45,0.37,0.69,0.68,0.85,0.94,0.85,0.79,0.81,0.76,0.65,0.94
09050100,09092600,C,96,,0.73,0.77,0.72,0.96,0.73,0.75,,0.81,,,,0.94
09050100,09093500,C,95,,,,,,0.85,0.79,,,0.85,0.72,0.79,0.50
09050100,09097500,C,266,0.53,0.55,,0.46,,0.79,0.83,,0.53,0.60,0.59,,0.51
09050100,09251000,K,468,0.55,0.41,0.43,0.60,0.52,0.90,0.94,0.82,0.60,0.81,0.75,0.70,0.74
09050100,504600,C,350,0.53,0.40,,,,0.36,0.49,0.49,,0.54,,0.40,0.86
09050700,09034500,C,416,,0.42,0.51,0.87,0.90,0.88,0.86,0.78,0.67,0.84,0.59,,0.94
09050700,09035500,C,372,0.53,0.37,0.51,0.65,0.81,0.86,0.96,0.90,0.82,0.87,0.66,0.48,0.97
09050700,09037500,C,441,,,,0.86,0.89,0.88,0.87,0.76,0.68,0.81,0.69,0.38,0.97
09050700,09037500,K,441,,,,0.81,0.79,0.91,0.88,0.66,0.71,0.85,0.71,0.38,0.87
09050700,09047000,C,16,,,,,,,,,,,,,0.99
09050700,09053500,C,165,0.69,0.74,0.79,0.99,0.98,1.00,0.97,0.98,0.99,0.99,0.91,0.70,0.99
09050700,09054000,C,336,0.51,0.40,,0.82,0.85,0.78,0.93,0.78,0.65,0.61,0.69,0.56,0.96
09050700,09057500,C,441,0.81,0.70,0.68,0.95,0.98,0.99,0.98,0.95,0.94,0.94,0.85,0.84,0.99
09050700,09058000,C,408,0.67,0.49,0.53,0.83,0.91,0.95,0.94,0.90,0.84,0.89,0.65,0.58,0.96
09050700,09072500,C,81,,,,0.93,1.00,0.99,0.85,,0.85,0.96,,,0.92
09050700,09091500,C,57,,,,0.99,0.98,,0.91,,,,,,0.53
09050700,09340500,K,441,,,0.51,0.80,0.61,0.87,0.90,0.72,0.77,0.72,0.65,0.43,0.80
09052800,09010500,C,336,0.52,0.61,,0.90,0.84,0.75,0.88,0.83,0.60,0.79,0.60,0.55,0.97
09052800,09011000,C,240,0.53,0.59,0.49,0.86,0.76,0.63,0.89,0.85,0.62,0.75,0.74,0.73,0.96
09052800,09019500,C,141,,,,,0.87,,0.85,0.88,0.71,,,,0.89
09052800,09024000,C,336,0.45,,,0.75,0.92,0.80,0.92,0.84,0.60,0.59,0.61,0.55,0.97
09052800,09034250,C,156,0.71,,,0.82,0.70,0.90,0.93,0.95,0.88,0.79,0.57,0.72,0.93
09052800,09034500,C,336,,,,0.78,0.81,0.71,0.88,0.89,0.75,0.77,0.60,0.52,0.92
09052800,09035500,C,336,,,,0.65,0.82,0.78,0.93,0.87,0.71,0.67,0.41,,0.96
09052800,09036000,C,336,0.41,,,0.82,0.90,0.88,0.92,0.91,0.69,0.69,0.48,0.47,0.96
09052800,09037500,C,336,,,,0.76,0.85,0.77,0.81,0.74,0.60,0.66,0.54,,0.95
09052800,09037500,K,336,,,,0.55,0.74,0.79,0.89,0.79,0.54,0.60,0.51,,0.83
09052800,09041000,C,72,,,,0.94,,0.86,0.92,0.85,,,,,0.78
09052800,09041200,C,96,,,-.73,,,,,,,,,,0.88
09052800,09053500,C,84,,,,0.98,0.94,0.95,0.95,0.84,0.86,0.79,0.82,,0.98
09052800,09054000,C,336,0.51,0.49,0.54,0.92,0.91,0.94,0.96,0.94,0.92,0.92,0.72,0.73,0.99
09052800,09057500,C,336,0.42,,,0.81,0.89,0.82,0.95,0.86,0.70,0.75,0.78,0.47,0.97
09052800,09058000,C,324,0.47,,,0.70,0.81,0.77,0.93,0.91,0.80,0.79,0.66,0.51,0.93
09052800,09063000,C,336,0.44,,,0.78,0.80,0.61,0.89,0.90,0.53,0.56,0.48,0.62,0.90
09052800,09065100,C,324,0.44,,0.39,0.86,0.93,0.86,0.93,0.88,0.89,0.88,0.71,0.55,0.97
09052800,09068000,C,72,,,,0.89,0.86,0.86,0.94,,0.83,,,,0.94
09052800,09070500,C,336,,,,0.67,0.79,0.78,0.95,0.90,0.82,0.69,0.49,,0.92
09052800,09073400,C,336,0.54,0.69,0.74,0.80,0.87,0.68,0.88,0.82,0.71,0.65,0.57,0.57,0.95
09052800,09078600,C,228,0.82,0.60,0.61,0.76,0.90,0.88,0.95,0.89,0.80,0.80,0.73,0.74,0.95
09052800,09084000,C,72,,,,,,,,0.93,,,,,0.73
09052800,09085000,C,336,0.54,,,0.56,0.74,0.73,0.92,0.90,0.73,0.59,0.57,0.57,0.95
09052800,09085000,K,336,,,,0.38,0.63,0.69,0.92,0.87,0.72,0.60,0.49,,0.88
09052800,09085100,C,336,,,,0.63,0.78,0.78,0.95,0.92,0.80,0.63,0.48,0.49,0.94
09052800,09095500,C,336,,,,0.58,0.71,0.75,0.94,0.91,0.79,0.66,0.50,0.40,0.92
09052800,09096500,C,113,,,,0.81,,,,,,,,0.66,0.75
09052800,09112500,K,336,0.71,0.52,,0.77,0.64,0.64,0.90,0.82,0.64,0.57,0.48,0.54,0.92
09052800,09166500,K,336,0.64,0.48,,,,,0.67,0.73,0.64,0.74,0.51,0.43,0.78
09052800,09172500,K,335,0.60,,0.44,,0.38,0.43,0.71,0.74,0.65,0.68,0.55,0.45,0.90
09052800,09239500,K,336,0.52,,0.39,,0.58,0.72,0.88,0.85,0.60,0.60,0.49,0.44,0.73
09052800,09251000,K,336,0.60,,0.50,,0.44,0.75,0.92,0.79,0.47,0.71,0.60,0.49,0.63
09052800,09342500,K,336,0.59,,,,,,0.58,,0.57,0.78,0.50,0.46,0.74
09052800,09361500,K,336,0.60,0.50,,,0.39,,0.67,0.64,0.62,0.75,0.55,0.39,0.85
09052800,09365500,K,336,0.55,0.40,0.42,,,,0.58,0.48,0.56,0.64,,0.39,0.72
09053500,09032500,C,204,,,,0.84,0.80,0.84,0.91,0.86,0.71,0.63,,,0.92
09053500,09034000,C,147,,,,0.91,0.85,0.95,0.91,0.84,0.74,,,,0.93
09053500,09034500,C,359,-.51,,,0.76,0.85,0.84,0.80,0.69,0.41,0.46,,-.39,0.87
09053500,09035500,C,96,,,,,0.81,0.97,0.94,0.76,0.96,,,,0.96
